Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Month,Year,
Dublin,4287,2776,1511,708,2374,1141,64,2329,1997,39,0,752,1268,,,September,2021,"1,806"
Mid-East,318,205,113,51,162,96,9,192,112,3,11,52,84,,,September,2021,104
Midlands,91,60,31,21,49,18,3,65,0,26,0,6,7,,,September,2021,11
Mid-West,299,203,96,31,169,93,6,28,240,31,0,32,44,,,September,2021,52
North-East,75,59,16,5,44,21,5,12,54,8,1,9,11,,,September,2021,20
North-West,74,51,23,14,38,21,1,27,32,15,0,8,9,,,September,2021,12
South-East,193,137,56,29,110,48,6,53,140,0,0,18,24,,,September,2021,39
South-West,512,361,151,65,283,145,19,339,179,0,0,60,76,,,September,2021,122
West,282,166,116,65,128,74,15,160,122,0,0,68,104,,,September,2021,178
Dublin,4370,2486,1884,582,2535,1175,78,2269,2098,70,0,1294,1862,726,2872,September,2019,
Mid-East,316,186,130,49,180,77,10,222,91,3,0,86,126,46,191,September,2019,
Midlands,94,43,51,15,54,25,0,58,12,24,0,26,34,18,61,September,2019,
Mid-West,324,192,132,53,175,90,6,108,177,40,0,81,105,57,142,September,2019,
North-East,169,101,68,34,89,34,12,111,58,0,0,29,37,21,49,September,2019,
North-West,55,35,20,8,31,15,1,16,25,12,2,5,9,1,17,September,2019,
South-East,256,171,85,57,126,66,7,67,178,10,1,22,32,12,40,September,2019,
South-West,592,356,236,94,322,155,21,356,237,0,0,124,167,81,288,September,2019,
West,348,211,137,44,194,97,13,218,128,0,2,89,129,49,213,September,2019,
Dublin,4432,2875,1557,769,2439,1165,59,2465,1986,38,0,799,1347,,1903,October,2021,
Mid-East,324,206,118,54,162,98,10,198,122,4,0,55,89,,122,October,2021,
Midlands,89,54,35,18,54,15,2,64,0,25,0,10,11,,17,October,2021,
Mid-West,282,185,97,35,151,90,6,34,218,30,0,36,50,,61,October,2021,
North-East,81,61,20,7,45,24,5,11,63,7,0,9,12,,18,October,2021,
North-West,77,50,27,11,43,22,1,31,32,14,0,8,10,,15,October,2021,
South-East,201,144,57,36,111,49,5,57,144,0,0,18,25,,38,October,2021,
South-West,534,371,163,67,298,151,18,351,185,0,0,68,89,,142,October,2021,
West,297,171,126,56,145,79,17,168,129,0,0,79,119,,197,October,2021,
Dublin,4534,2658,1876,583,2671,1201,79,2260,2321,65,0,1270,1840,700,2795,October,2019,
Mid-East,319,191,128,49,173,85,12,214,102,3,0,86,127,45,198,October,2019,
Midlands,96,46,50,18,55,23,0,59,12,25,0,23,29,17,55,October,2019,
Mid-West,345,203,142,53,195,91,6,128,180,37,0,88,114,62,163,October,2019,
North-East,144,87,57,28,76,30,10,92,52,0,0,27,34,20,47,October,2019,
North-West,65,44,21,12,37,15,1,20,29,13,3,8,11,5,19,October,2019,
South-East,237,161,76,46,114,69,8,70,156,3,8,21,30,12,46,October,2019,
South-West,608,378,230,79,346,159,24,360,248,0,0,125,173,77,291,October,2019,
